lp,stanowisko,firma,lokalizacja,link
1,Junior/Mid Tester/-ka Automatyzujący/-a - Prepaid Tribe,Brak danych,"Warszawa, Mokotów","https://www.pracuj.pl/praca/junior-mid-tester-ka-automatyzujacy-a-prepaid-tribe-warszawa-marynarska-12,oferta,1004970577"
2,Młodszy Tester Oprogramowania (k/m),Brak danych,Miejsce pracy:Cała Polska (praca zdalna) Siedziba firmy:Zielona Góra,"https://www.pracuj.pl/praca/mlodszy-tester-oprogramowania-k-m-zielona-gora-wroclawska-17b,oferta,1004974152"
3,Junior Test Automation Engineer with Java (f/m/x),Brak danych,"Warszawa, Mokotów","https://www.pracuj.pl/praca/junior-test-automation-engineer-with-java-f-m-x-warszawa-aleja-niepodleglosci-69,oferta,1004939371"
4,Młodszy Tester Oprogramowania (m/k/os.),Brak danych,"Warszawa, Wilanów","https://www.pracuj.pl/praca/mlodszy-tester-oprogramowania-m-k-os-warszawa-adama-branickiego-13,oferta,1004932214"
5,Junior Software Tester / Software Tester,Brak danych,"Warszawa, Praga-Południe","https://www.pracuj.pl/praca/junior-software-tester-software-tester-warszawa-lotewska-9a,oferta,1004919528"
6,Junior QA Engineer,Brak danych,Kraków,"https://www.pracuj.pl/praca/junior-qa-engineer-krakow,oferta,1004913351"
7,Młodszy Inżynier ds. Testów (m/k),Brak danych,Pietrzykowice (pow. wrocławski; gm. Kąty Wrocławskie),"https://www.pracuj.pl/praca/mlodszy-inzynier-ds-testow-m-k-pietrzykowice-pow-wroclawski-gm-katy-wroclawskie-fabryczna-20b,oferta,1004954338"
8,Młodszy Inżynier / Młodsza Inżynierka Testów Urządzeń Elektrycznych – Zakład Napędów,Brak danych,Aleksandrów Łódzki,"https://www.pracuj.pl/praca/mlodszy-inzynier-mlodsza-inzynierka-testow-urzadzen-elektrycznych-zaklad-napedow-aleksandrow-lodzki-placydowska-27,oferta,1004944662"
9,Młodszy / Inżynier ds. Testów Urządzeń Energoelektronicznych (k/m),Brak danych,"Warszawa, Targówek","https://www.pracuj.pl/praca/mlodszy-inzynier-ds-testow-urzadzen-energoelektronicznych-k-m-warszawa-piotra-bardowskiego-8,oferta,1004916487"
10,Junior Penetration Tester,Brak danych,Miejsce pracy:Cała Polska (praca zdalna) Siedziba firmy:Warszawa,"https://www.pracuj.pl/praca/junior-penetration-tester-warszawa,oferta,1004933685"
